[27Jan2025 00:00:00.503] [User Authenticator #1/INFO] [net.minecraft.server.network.ServerLoginPacketListenerImpl/]: UUID of player Moony_3 is 6a3b50f1-f316-4d42-a903-43a0f178adff
[27Jan2025 00:00:09.064] [Server thread/ERROR] [net.minecraft.stats.ServerRecipeBook/]: Tried to load unrecognized recipe: dtbop:willow_seed_to_biomesoplenty_willow_sapling removed now.
[27Jan2025 00:00:09.064] [Server thread/ERROR] [net.minecraft.stats.ServerRecipeBook/]: Tried to load unrecognized recipe: dttconstruct:skyroot_seed_to_tconstruct_sky_slime_sapling removed now.
[27Jan2025 00:00:09.066] [Server thread/ERROR] [net.minecraft.stats.ServerRecipeBook/]: Tried to load unrecognized recipe: dtautumnity:autumnity_orange_maple_sapling_to_orange_maple_seed removed now.
[27Jan2025 00:00:09.067] [Server thread/ERROR] [net.minecraft.stats.ServerRecipeBook/]: Tried to load unrecognized recipe: dynamictrees:minecraft_mangrove_propagule_to_mangrove_seed removed now.
[27Jan2025 00:00:09.067] [Server thread/ERROR] [net.minecraft.stats.ServerRecipeBook/]: Tried to load unrecognized recipe: dtquark:serene_blossom_seed_to_quark_lavender_blossom_sapling removed now.
[27Jan2025 00:00:09.067] [Server thread/ERROR] [net.minecraft.stats.ServerRecipeBook/]: Tried to load unrecognized recipe: dtbop:pink_cherry_seed_to_biomesoplenty_white_cherry_sapling removed now.
[27Jan2025 00:00:09.068] [Server thread/ERROR] [net.minecraft.stats.ServerRecipeBook/]: Tried to load unrecognized recipe: dtbop:mahogany_seed_to_biomesoplenty_mahogany_sapling removed now.
[27Jan2025 00:00:09.069] [Server thread/ERROR] [net.minecraft.stats.ServerRecipeBook/]: Tried to load unrecognized recipe: dtupgradeaquatic:upgrade_aquatic_river_sapling_to_mulberry_seed removed now.
[27Jan2025 00:00:09.070] [Server thread/ERROR] [net.minecraft.stats.ServerRecipeBook/]: Tried to load unrecognized recipe: dtautumnity:orange_maple_seed_to_autumnity_orange_maple_sapling removed now.
[27Jan2025 00:00:09.070] [Server thread/ERROR] [net.minecraft.stats.ServerRecipeBook/]: Tried to load unrecognized recipe: dtautumnity:maple_seed_to_autumnity_maple_sapling removed now.
[27Jan2025 00:00:09.070] [Server thread/ERROR] [net.minecraft.stats.ServerRecipeBook/]: Tried to load unrecognized recipe: dtbop:biomesoplenty_dead_sapling_to_dying_seed removed now.
[27Jan2025 00:00:09.071] [Server thread/ERROR] [net.minecraft.stats.ServerRecipeBook/]: Tried to load unrecognized recipe: dtbop:biomesoplenty_willow_sapling_to_willow_seed removed now.
[27Jan2025 00:00:09.071] [Server thread/ERROR] [net.minecraft.stats.ServerRecipeBook/]: Tried to load unrecognized recipe: dttconstruct:tconstruct_blood_slime_sapling_to_bloodshroom_seed removed now.
[27Jan2025 00:00:09.071] [Server thread/ERROR] [net.minecraft.stats.ServerRecipeBook/]: Tried to load unrecognized recipe: dynamictrees:minecraft_oak_sapling_to_oak_seed removed now.
[27Jan2025 00:00:09.071] [Server thread/ERROR] [net.minecraft.stats.ServerRecipeBook/]: Tried to load unrecognized recipe: dtquark:fiery_blossom_seed_to_quark_red_blossom_sapling removed now.
[27Jan2025 00:00:09.072] [Server thread/ERROR] [net.minecraft.stats.ServerRecipeBook/]: Tried to load unrecognized recipe: dtbop:biomesoplenty_mahogany_sapling_to_mahogany_seed removed now.
[27Jan2025 00:00:09.072] [Server thread/ERROR] [net.minecraft.stats.ServerRecipeBook/]: Tried to load unrecognized recipe: dtbop:biomesoplenty_hellbark_sapling_to_hellbark_bush_seed removed now.
[27Jan2025 00:00:09.072] [Server thread/ERROR] [net.minecraft.stats.ServerRecipeBook/]: Tried to load unrecognized recipe: dtbop:flowering_oak_seed_to_biomesoplenty_flowering_oak_sapling removed now.
[27Jan2025 00:00:09.073] [Server thread/ERROR] [net.minecraft.stats.ServerRecipeBook/]: Tried to load unrecognized recipe: dynamictrees:azalea_seed_to_minecraft_azalea removed now.
[27Jan2025 00:00:09.073] [Server thread/ERROR] [net.minecraft.stats.ServerRecipeBook/]: Tried to load unrecognized recipe: dtquark:warm_blossom_seed_to_quark_orange_blossom_sapling removed now.
[27Jan2025 00:00:09.073] [Server thread/ERROR] [net.minecraft.stats.ServerRecipeBook/]: Tried to load unrecognized recipe: dtbop:biomesoplenty_redwood_sapling_to_small_redwood_seed removed now.
[27Jan2025 00:00:09.074] [Server thread/ERROR] [net.minecraft.stats.ServerRecipeBook/]: Tried to load unrecognized recipe: dtautumnity:autumnity_yellow_maple_sapling_to_yellow_maple_seed removed now.
[27Jan2025 00:00:09.074] [Server thread/ERROR] [net.minecraft.stats.ServerRecipeBook/]: Tried to load unrecognized recipe: dynamictrees:dark_oak_seed_to_minecraft_dark_oak_sapling removed now.
[27Jan2025 00:00:09.075] [Server thread/ERROR] [net.minecraft.stats.ServerRecipeBook/]: Tried to load unrecognized recipe: dynamictrees:minecraft_crimson_fungus_to_crimson_seed removed now.
[27Jan2025 00:00:09.075] [Server thread/ERROR] [net.minecraft.stats.ServerRecipeBook/]: Tried to load unrecognized recipe: dynamictrees:minecraft_acacia_sapling_to_acacia_seed removed now.
[27Jan2025 00:00:09.075] [Server thread/ERROR] [net.minecraft.stats.ServerRecipeBook/]: Tried to load unrecognized recipe: dtbop:biomesoplenty_white_cherry_sapling_to_white_cherry_seed removed now.
[27Jan2025 00:00:09.075] [Server thread/ERROR] [net.minecraft.stats.ServerRecipeBook/]: Tried to load unrecognized recipe: dtbop:biomesoplenty_white_cherry_sapling_to_pink_cherry_seed removed now.
[27Jan2025 00:00:09.076] [Server thread/ERROR] [net.minecraft.stats.ServerRecipeBook/]: Tried to load unrecognized recipe: dtbop:biomesoplenty_rainbow_birch_sapling_to_rainbow_birch_seed removed now.
[27Jan2025 00:00:09.076] [Server thread/ERROR] [net.minecraft.stats.ServerRecipeBook/]: Tried to load unrecognized recipe: dtquark:quark_glow_shroom_to_glow_shroom_seed removed now.
[27Jan2025 00:00:09.076] [Server thread/ERROR] [net.minecraft.stats.ServerRecipeBook/]: Tried to load unrecognized recipe: dtbop:orange_autumn_seed_to_biomesoplenty_orange_autumn_sapling removed now.
[27Jan2025 00:00:09.076] [Server thread/ERROR] [net.minecraft.stats.ServerRecipeBook/]: Tried to load unrecognized recipe: dtquark:quark_orange_blossom_sapling_to_warm_blossom_seed removed now.
[27Jan2025 00:00:09.077] [Server thread/ERROR] [net.minecraft.stats.ServerRecipeBook/]: Tried to load unrecognized recipe: dtautumnity:autumnity_red_maple_sapling_to_red_maple_seed removed now.
[27Jan2025 00:00:09.077] [Server thread/ERROR] [net.minecraft.stats.ServerRecipeBook/]: Tried to load unrecognized recipe: dynamictrees:birch_seed_to_minecraft_birch_sapling removed now.
[27Jan2025 00:00:09.077] [Server thread/ERROR] [net.minecraft.stats.ServerRecipeBook/]: Tried to load unrecognized recipe: dynamictrees:azalea_seed_to_minecraft_flowering_azalea removed now.
[27Jan2025 00:00:09.080] [Server thread/ERROR] [net.minecraft.stats.ServerRecipeBook/]: Tried to load unrecognized recipe: dynamictrees:minecraft_birch_sapling_to_birch_seed removed now.
[27Jan2025 00:00:09.080] [Server thread/ERROR] [net.minecraft.stats.ServerRecipeBook/]: Tried to load unrecognized recipe: dynamictrees:minecraft_dark_oak_sapling_to_dark_oak_seed removed now.
[27Jan2025 00:00:09.080] [Server thread/ERROR] [net.minecraft.stats.ServerRecipeBook/]: Tried to load unrecognized recipe: dynamictrees:minecraft_azalea_to_azalea_seed removed now.
[27Jan2025 00:00:09.081] [Server thread/ERROR] [net.minecraft.stats.ServerRecipeBook/]: Tried to load unrecognized recipe: dtquark:quark_ancient_fruit_to_ancient_seed removed now.
[27Jan2025 00:00:09.081] [Server thread/ERROR] [net.minecraft.stats.ServerRecipeBook/]: Tried to load unrecognized recipe: dtbop:biomesoplenty_dead_sapling_to_tall_dying_seed removed now.
[27Jan2025 00:00:09.082] [Server thread/ERROR] [net.minecraft.stats.ServerRecipeBook/]: Tried to load unrecognized recipe: dtquark:ancient_seed_to_quark_ancient_sapling removed now.
[27Jan2025 00:00:09.082] [Server thread/ERROR] [net.minecraft.stats.ServerRecipeBook/]: Tried to load unrecognized recipe: dtautumnity:red_maple_seed_to_autumnity_red_maple_sapling removed now.
[27Jan2025 00:00:09.083] [Server thread/ERROR] [net.minecraft.stats.ServerRecipeBook/]: Tried to load unrecognized recipe: dtbop:biomesoplenty_maple_sapling_to_maple_seed removed now.
[27Jan2025 00:00:09.084] [Server thread/ERROR] [net.minecraft.stats.ServerRecipeBook/]: Tried to load unrecognized recipe: dtbop:yellow_autumn_seed_to_biomesoplenty_yellow_autumn_sapling removed now.
[27Jan2025 00:00:09.084] [Server thread/ERROR] [net.minecraft.stats.ServerRecipeBook/]: Tried to load unrecognized recipe: dynamictrees:crimson_seed_to_minecraft_crimson_fungus removed now.
[27Jan2025 00:00:09.085] [Server thread/ERROR] [net.minecraft.stats.ServerRecipeBook/]: Tried to load unrecognized recipe: dtneapolitan:banana_seed_to_neapolitan_banana_frond removed now.
[27Jan2025 00:00:09.085] [Server thread/ERROR] [net.minecraft.stats.ServerRecipeBook/]: Tried to load unrecognized recipe: dtquark:glow_shroom_seed_to_quark_glow_shroom removed now.
[27Jan2025 00:00:09.087] [Server thread/ERROR] [net.minecraft.stats.ServerRecipeBook/]: Tried to load unrecognized recipe: dtautumnity:autumnity_maple_sapling_to_maple_seed removed now.
[27Jan2025 00:00:09.087] [Server thread/ERROR] [net.minecraft.stats.ServerRecipeBook/]: Tried to load unrecognized recipe: dynamictrees:minecraft_flowering_azalea_to_azalea_seed removed now.
[27Jan2025 00:00:09.088] [Server thread/ERROR] [net.minecraft.stats.ServerRecipeBook/]: Tried to load unrecognized recipe: dynamictrees:jungle_seed_to_minecraft_jungle_sapling removed now.
[27Jan2025 00:00:09.088] [Server thread/ERROR] [net.minecraft.stats.ServerRecipeBook/]: Tried to load unrecognized recipe: dtupgradeaquatic:upgrade_aquatic_mulberry_to_mulberry_seed removed now.
[27Jan2025 00:00:09.088] [Server thread/ERROR] [net.minecraft.stats.ServerRecipeBook/]: Tried to load unrecognized recipe: dtbop:palm_seed_to_biomesoplenty_palm_sapling removed now.
[27Jan2025 00:00:09.088] [Server thread/ERROR] [net.minecraft.stats.ServerRecipeBook/]: Tried to load unrecognized recipe: dtquark:sunny_blossom_seed_to_quark_yellow_blossom_sapling removed now.
[27Jan2025 00:00:09.089] [Server thread/ERROR] [net.minecraft.stats.ServerRecipeBook/]: Tried to load unrecognized recipe: dtbop:magic_poplar_seed_to_biomesoplenty_magic_sapling removed now.
[27Jan2025 00:00:09.089] [Server thread/ERROR] [net.minecraft.stats.ServerRecipeBook/]: Tried to load unrecognized recipe: dtbop:biomesoplenty_palm_sapling_to_palm_seed removed now.
[27Jan2025 00:00:09.089] [Server thread/ERROR] [net.minecraft.stats.ServerRecipeBook/]: Tried to load unrecognized recipe: dtneapolitan:neapolitan_banana_frond_to_banana_seed removed now.
[27Jan2025 00:00:09.090] [Server thread/ERROR] [net.minecraft.stats.ServerRecipeBook/]: Tried to load unrecognized recipe: dynamictreesplus:minecraft_red_mushroom_to_red_mushroom_seed removed now.
[27Jan2025 00:00:09.090] [Server thread/ERROR] [net.minecraft.stats.ServerRecipeBook/]: Tried to load unrecognized recipe: dttconstruct:enderbark_seed_to_tconstruct_ender_slime_sapling removed now.
[27Jan2025 00:00:09.090] [Server thread/ERROR] [net.minecraft.stats.ServerRecipeBook/]: Tried to load unrecognized recipe: dtbop:biomesoplenty_flowering_oak_sapling_to_flowering_oak_seed removed now.
[27Jan2025 00:00:09.090] [Server thread/ERROR] [net.minecraft.stats.ServerRecipeBook/]: Tried to load unrecognized recipe: dynamictreesplus:minecraft_brown_mushroom_to_brown_mushroom_seed removed now.
[27Jan2025 00:00:09.091] [Server thread/ERROR] [net.minecraft.stats.ServerRecipeBook/]: Tried to load unrecognized recipe: dynamictrees:mangrove_seed_to_minecraft_mangrove_propagule removed now.
[27Jan2025 00:00:09.091] [Server thread/ERROR] [net.minecraft.stats.ServerRecipeBook/]: Tried to load unrecognized recipe: dtbop:maple_seed_to_biomesoplenty_maple_sapling removed now.
[27Jan2025 00:00:09.091] [Server thread/ERROR] [net.minecraft.stats.ServerRecipeBook/]: Tried to load unrecognized recipe: dtbop:white_cherry_seed_to_biomesoplenty_white_cherry_sapling removed now.
[27Jan2025 00:00:09.092] [Server thread/ERROR] [net.minecraft.stats.ServerRecipeBook/]: Tried to load unrecognized recipe: dtbop:biomesoplenty_umbran_sapling_to_umbran_seed removed now.
[27Jan2025 00:00:09.092] [Server thread/ERROR] [net.minecraft.stats.ServerRecipeBook/]: Tried to load unrecognized recipe: dtquark:quark_blue_blossom_sapling_to_frosty_blossom_seed removed now.
[27Jan2025 00:00:09.093] [Server thread/ERROR] [net.minecraft.stats.ServerRecipeBook/]: Tried to load unrecognized recipe: dtbop:biomesoplenty_fir_sapling_to_fir_seed removed now.
[27Jan2025 00:00:09.093] [Server thread/ERROR] [net.minecraft.stats.ServerRecipeBook/]: Tried to load unrecognized recipe: dttconstruct:tconstruct_ender_slime_sapling_to_enderbark_seed removed now.
